[2025-04-04 22:17:34.817] Namespace(dataset_name='ChestXray14', model_name='resnet18', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, dataset_path='/cabinet/reza/datasets/NIH_Chest_X_rays/images/', epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', valid_start_epoch=1, patience=10, loss_type='focal', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.01, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='resnet18_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/resnet18_ImageNet_exper/resnet18_ImageNet_exper_run_1.pdf'))
[2025-04-04 22:18:39.938] Run:1-Epoch:1, TrainLoss:0.1641, TrainAcc:0.6238
[2025-04-04 22:18:42.611] Run:1-Epoch:1, ValidLoss:0.1579, ValidAcc:0.6853
[2025-04-04 22:19:46.792] Run:1-Epoch:2, TrainLoss:0.1491, TrainAcc:0.7395
[2025-04-04 22:19:49.171] Run:1-Epoch:2, ValidLoss:0.1413, ValidAcc:0.7955
[2025-04-04 22:20:53.106] Run:1-Epoch:3, TrainLoss:0.0984, TrainAcc:0.8555
[2025-04-04 22:20:55.366] Run:1-Epoch:3, ValidLoss:0.0578, ValidAcc:0.9437
[2025-04-04 22:21:58.710] Run:1-Epoch:4, TrainLoss:0.0872, TrainAcc:0.8644
[2025-04-04 22:22:00.942] Run:1-Epoch:4, ValidLoss:0.0571, ValidAcc:0.9389
[2025-04-04 22:23:05.418] Run:1-Epoch:5, TrainLoss:0.0796, TrainAcc:0.8735
[2025-04-04 22:23:07.761] Run:1-Epoch:5, ValidLoss:0.0527, ValidAcc:0.9392
[2025-04-04 22:24:11.957] Run:1-Epoch:6, TrainLoss:0.0736, TrainAcc:0.8814
[2025-04-04 22:24:14.245] Run:1-Epoch:6, ValidLoss:0.0562, ValidAcc:0.9324
[2025-04-04 22:25:17.700] Run:1-Epoch:7, TrainLoss:0.0677, TrainAcc:0.8902
[2025-04-04 22:25:19.894] Run:1-Epoch:7, ValidLoss:0.0603, ValidAcc:0.9256
[2025-04-04 22:26:22.860] Run:1-Epoch:8, TrainLoss:0.0610, TrainAcc:0.9009
[2025-04-04 22:26:25.295] Run:1-Epoch:8, ValidLoss:0.0588, ValidAcc:0.9254
[2025-04-04 22:27:28.892] Run:1-Epoch:9, TrainLoss:0.0543, TrainAcc:0.9125
[2025-04-04 22:27:31.165] Run:1-Epoch:9, ValidLoss:0.0625, ValidAcc:0.9224
[2025-04-04 22:28:36.077] Run:1-Epoch:10, TrainLoss:0.0484, TrainAcc:0.9228
[2025-04-04 22:28:38.337] Run:1-Epoch:10, ValidLoss:0.0719, ValidAcc:0.9024
[2025-04-04 22:29:43.279] Run:1-Epoch:11, TrainLoss:0.0431, TrainAcc:0.9322
[2025-04-04 22:29:45.586] Run:1-Epoch:11, ValidLoss:0.0735, ValidAcc:0.9045
