[2025-04-16 19:57:58.873] Namespace(dataset_name='ChestXray14', model_name='resnet18', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, dataset_path='/cabinet/reza/datasets/NIH_Chest_X_rays/images/', epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', valid_start_epoch=1, patience=5, loss_type='focal', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.01, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='resnet18_ImageNet_vgg19_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/resnet18_ImageNet_vgg19_ImageNet_exper/resnet18_ImageNet_vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-16 19:57:59.270] Run:1-Epoch:1, TrainLoss:0.1769, TrainAcc:0.5214
[2025-04-16 19:57:59.356] Run:1-Epoch:1, ValidLoss:0.1858, ValidAcc:0.4357
[2025-04-16 19:57:59.776] Run:1-Epoch:2, TrainLoss:0.1756, TrainAcc:0.5514
[2025-04-16 19:57:59.865] Run:1-Epoch:2, ValidLoss:0.1871, ValidAcc:0.4357
[2025-04-16 19:58:00.198] Run:1-Epoch:3, TrainLoss:0.1764, TrainAcc:0.5450
[2025-04-16 19:58:00.288] Run:1-Epoch:3, ValidLoss:0.1801, ValidAcc:0.4800
[2025-04-16 19:58:00.753] Run:1-Epoch:4, TrainLoss:0.1687, TrainAcc:0.5979
[2025-04-16 19:58:00.839] Run:1-Epoch:4, ValidLoss:0.1640, ValidAcc:0.6064
[2025-04-16 19:58:01.301] Run:1-Epoch:5, TrainLoss:0.1604, TrainAcc:0.6657
[2025-04-16 19:58:01.387] Run:1-Epoch:5, ValidLoss:0.1417, ValidAcc:0.7643
[2025-04-16 19:58:01.855] Run:1-Epoch:6, TrainLoss:0.1476, TrainAcc:0.7386
[2025-04-16 19:58:01.940] Run:1-Epoch:6, ValidLoss:0.1195, ValidAcc:0.8786
[2025-04-16 19:58:02.404] Run:1-Epoch:7, TrainLoss:0.1305, TrainAcc:0.8229
[2025-04-16 19:58:02.490] Run:1-Epoch:7, ValidLoss:0.0986, ValidAcc:0.9386
[2025-04-16 19:58:02.953] Run:1-Epoch:8, TrainLoss:0.1168, TrainAcc:0.8486
[2025-04-16 19:58:03.039] Run:1-Epoch:8, ValidLoss:0.0826, ValidAcc:0.9529
[2025-04-16 19:58:03.514] Run:1-Epoch:9, TrainLoss:0.1049, TrainAcc:0.8571
[2025-04-16 19:58:03.602] Run:1-Epoch:9, ValidLoss:0.0710, ValidAcc:0.9564
[2025-04-16 19:58:04.059] Run:1-Epoch:10, TrainLoss:0.1026, TrainAcc:0.8529
[2025-04-16 19:58:04.145] Run:1-Epoch:10, ValidLoss:0.0631, ValidAcc:0.9571
[2025-04-16 19:58:04.617] Run:1-Epoch:11, TrainLoss:0.0983, TrainAcc:0.8500
[2025-04-16 19:58:04.703] Run:1-Epoch:11, ValidLoss:0.0579, ValidAcc:0.9571
[2025-04-16 19:58:05.165] Run:1-Epoch:12, TrainLoss:0.0942, TrainAcc:0.8536
[2025-04-16 19:58:05.250] Run:1-Epoch:12, ValidLoss:0.0555, ValidAcc:0.9571
[2025-04-16 19:58:05.714] Run:1-Epoch:13, TrainLoss:0.0918, TrainAcc:0.8500
[2025-04-16 19:58:05.800] Run:1-Epoch:13, ValidLoss:0.0547, ValidAcc:0.9571
[2025-04-16 19:58:06.262] Run:1-Epoch:14, TrainLoss:0.0875, TrainAcc:0.8593
[2025-04-16 19:58:06.348] Run:1-Epoch:14, ValidLoss:0.0542, ValidAcc:0.9571
[2025-04-16 19:58:06.806] Run:1-Epoch:15, TrainLoss:0.0836, TrainAcc:0.8593
[2025-04-16 19:58:06.892] Run:1-Epoch:15, ValidLoss:0.0544, ValidAcc:0.9571
[2025-04-16 19:58:07.216] Run:1-Epoch:16, TrainLoss:0.0810, TrainAcc:0.8679
[2025-04-16 19:58:07.303] Run:1-Epoch:16, ValidLoss:0.0548, ValidAcc:0.9571
[2025-04-16 19:58:07.633] Run:1-Epoch:17, TrainLoss:0.0796, TrainAcc:0.8614
[2025-04-16 19:58:07.718] Run:1-Epoch:17, ValidLoss:0.0555, ValidAcc:0.9571
[2025-04-16 19:58:08.045] Run:1-Epoch:18, TrainLoss:0.0769, TrainAcc:0.8693
[2025-04-16 19:58:08.131] Run:1-Epoch:18, ValidLoss:0.0562, ValidAcc:0.9571
[2025-04-16 19:58:08.457] Run:1-Epoch:19, TrainLoss:0.0741, TrainAcc:0.8743
[2025-04-16 19:58:08.542] Run:1-Epoch:19, ValidLoss:0.0568, ValidAcc:0.9564
[2025-04-16 19:58:08.869] Run:1-Epoch:20, TrainLoss:0.0685, TrainAcc:0.8886
[2025-04-16 19:58:08.954] Run:1-Epoch:20, ValidLoss:0.0574, ValidAcc:0.9564
[2025-04-16 20:27:20.196] Namespace(dataset_name='ChestXray14', model_name='resnet18', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, dataset_path='/cabinet/reza/datasets/NIH_Chest_X_rays/images/', epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', valid_start_epoch=1, patience=5, loss_type='focal', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.01, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='resnet18_ImageNet_vgg19_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/resnet18_ImageNet_vgg19_ImageNet_exper/resnet18_ImageNet_vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-16 20:27:20.572] Run:1-Epoch:1, TrainLoss:0.1769, TrainAcc:0.5214
[2025-04-16 20:27:20.661] Run:1-Epoch:1, ValidLoss:0.1858, ValidAcc:0.4357
[2025-04-16 20:27:21.150] Run:1-Epoch:2, TrainLoss:0.1756, TrainAcc:0.5514
[2025-04-16 20:27:21.241] Run:1-Epoch:2, ValidLoss:0.1871, ValidAcc:0.4357
[2025-04-16 20:27:21.570] Run:1-Epoch:3, TrainLoss:0.1764, TrainAcc:0.5450
[2025-04-16 20:27:21.660] Run:1-Epoch:3, ValidLoss:0.1801, ValidAcc:0.4800
[2025-04-16 20:27:22.152] Run:1-Epoch:4, TrainLoss:0.1687, TrainAcc:0.5979
[2025-04-16 20:27:22.242] Run:1-Epoch:4, ValidLoss:0.1640, ValidAcc:0.6064
[2025-04-16 20:27:22.736] Run:1-Epoch:5, TrainLoss:0.1604, TrainAcc:0.6657
[2025-04-16 20:27:22.830] Run:1-Epoch:5, ValidLoss:0.1417, ValidAcc:0.7643
[2025-04-16 20:27:23.307] Run:1-Epoch:6, TrainLoss:0.1476, TrainAcc:0.7386
[2025-04-16 20:27:23.398] Run:1-Epoch:6, ValidLoss:0.1195, ValidAcc:0.8786
[2025-04-16 20:27:23.872] Run:1-Epoch:7, TrainLoss:0.1305, TrainAcc:0.8229
[2025-04-16 20:27:23.961] Run:1-Epoch:7, ValidLoss:0.0986, ValidAcc:0.9386
[2025-04-16 20:27:24.442] Run:1-Epoch:8, TrainLoss:0.1168, TrainAcc:0.8486
[2025-04-16 20:27:24.532] Run:1-Epoch:8, ValidLoss:0.0826, ValidAcc:0.9529
[2025-04-16 20:27:25.002] Run:1-Epoch:9, TrainLoss:0.1049, TrainAcc:0.8571
[2025-04-16 20:27:25.092] Run:1-Epoch:9, ValidLoss:0.0710, ValidAcc:0.9564
[2025-04-16 20:27:25.578] Run:1-Epoch:10, TrainLoss:0.1026, TrainAcc:0.8529
[2025-04-16 20:27:25.670] Run:1-Epoch:10, ValidLoss:0.0631, ValidAcc:0.9571
[2025-04-16 20:27:26.146] Run:1-Epoch:11, TrainLoss:0.0983, TrainAcc:0.8500
[2025-04-16 20:27:26.237] Run:1-Epoch:11, ValidLoss:0.0579, ValidAcc:0.9571
[2025-04-16 20:27:26.713] Run:1-Epoch:12, TrainLoss:0.0942, TrainAcc:0.8536
[2025-04-16 20:27:26.803] Run:1-Epoch:12, ValidLoss:0.0555, ValidAcc:0.9571
[2025-04-16 20:27:27.276] Run:1-Epoch:13, TrainLoss:0.0918, TrainAcc:0.8500
[2025-04-16 20:27:27.368] Run:1-Epoch:13, ValidLoss:0.0547, ValidAcc:0.9571
[2025-04-16 20:27:27.839] Run:1-Epoch:14, TrainLoss:0.0875, TrainAcc:0.8593
[2025-04-16 20:27:27.930] Run:1-Epoch:14, ValidLoss:0.0542, ValidAcc:0.9571
[2025-04-16 20:27:28.410] Run:1-Epoch:15, TrainLoss:0.0836, TrainAcc:0.8593
[2025-04-16 20:27:28.503] Run:1-Epoch:15, ValidLoss:0.0544, ValidAcc:0.9571
[2025-04-16 20:27:28.830] Run:1-Epoch:16, TrainLoss:0.0810, TrainAcc:0.8679
[2025-04-16 20:27:28.921] Run:1-Epoch:16, ValidLoss:0.0548, ValidAcc:0.9571
[2025-04-16 20:27:29.246] Run:1-Epoch:17, TrainLoss:0.0796, TrainAcc:0.8614
[2025-04-16 20:27:29.337] Run:1-Epoch:17, ValidLoss:0.0555, ValidAcc:0.9571
[2025-04-16 20:27:29.664] Run:1-Epoch:18, TrainLoss:0.0769, TrainAcc:0.8693
[2025-04-16 20:27:29.756] Run:1-Epoch:18, ValidLoss:0.0562, ValidAcc:0.9571
[2025-04-16 20:27:30.082] Run:1-Epoch:19, TrainLoss:0.0741, TrainAcc:0.8743
[2025-04-16 20:27:30.173] Run:1-Epoch:19, ValidLoss:0.0568, ValidAcc:0.9564
[2025-04-16 20:27:30.504] Run:1-Epoch:20, TrainLoss:0.0685, TrainAcc:0.8886
[2025-04-16 20:27:30.594] Run:1-Epoch:20, ValidLoss:0.0574, ValidAcc:0.9564
[2025-04-19 02:30:13.430] Namespace(dataset_name='ChestXray14', model_name='resnet18', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, dataset_path='/cabinet/reza/datasets/NIH_Chest_X_rays/images/', epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', valid_start_epoch=1, patience=5, loss_type='focal', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.01, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='resnet18_ImageNet_vgg19_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/resnet18_ImageNet_vgg19_ImageNet_exper/resnet18_ImageNet_vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-19 02:30:14.199] Run:1-Epoch:1, TrainLoss:0.1790, TrainAcc:0.5434
[2025-04-19 02:30:14.394] Run:1-Epoch:1, ValidLoss:0.1850, ValidAcc:0.5216
[2025-04-19 02:30:15.108] Run:1-Epoch:2, TrainLoss:0.1782, TrainAcc:0.5460
[2025-04-19 02:30:15.279] Run:1-Epoch:2, ValidLoss:0.1814, ValidAcc:0.5296
[2025-04-19 02:30:16.036] Run:1-Epoch:3, TrainLoss:0.1700, TrainAcc:0.6170
[2025-04-19 02:30:16.232] Run:1-Epoch:3, ValidLoss:0.1560, ValidAcc:0.7041
[2025-04-19 02:30:16.988] Run:1-Epoch:4, TrainLoss:0.1500, TrainAcc:0.7543
[2025-04-19 02:30:17.171] Run:1-Epoch:4, ValidLoss:0.1261, ValidAcc:0.8699
[2025-04-19 02:30:17.934] Run:1-Epoch:5, TrainLoss:0.1229, TrainAcc:0.8266
[2025-04-19 02:30:18.129] Run:1-Epoch:5, ValidLoss:0.0842, ValidAcc:0.9490
[2025-04-19 02:30:18.899] Run:1-Epoch:6, TrainLoss:0.1028, TrainAcc:0.8563
[2025-04-19 02:30:19.095] Run:1-Epoch:6, ValidLoss:0.0628, ValidAcc:0.9497
[2025-04-19 02:30:19.855] Run:1-Epoch:7, TrainLoss:0.1035, TrainAcc:0.8473
[2025-04-19 02:30:20.047] Run:1-Epoch:7, ValidLoss:0.0607, ValidAcc:0.9497
[2025-04-19 02:30:20.804] Run:1-Epoch:8, TrainLoss:0.0960, TrainAcc:0.8509
[2025-04-19 02:30:20.998] Run:1-Epoch:8, ValidLoss:0.0673, ValidAcc:0.9450
[2025-04-19 02:30:21.594] Run:1-Epoch:9, TrainLoss:0.0909, TrainAcc:0.8613
[2025-04-19 02:30:21.775] Run:1-Epoch:9, ValidLoss:0.0689, ValidAcc:0.9443
[2025-04-19 02:30:22.377] Run:1-Epoch:10, TrainLoss:0.0851, TrainAcc:0.8630
[2025-04-19 02:30:22.558] Run:1-Epoch:10, ValidLoss:0.0629, ValidAcc:0.9424
[2025-04-19 02:30:23.149] Run:1-Epoch:11, TrainLoss:0.0807, TrainAcc:0.8666
[2025-04-19 02:30:23.347] Run:1-Epoch:11, ValidLoss:0.0586, ValidAcc:0.9471
[2025-04-19 02:30:24.111] Run:1-Epoch:12, TrainLoss:0.0772, TrainAcc:0.8776
[2025-04-19 02:30:24.294] Run:1-Epoch:12, ValidLoss:0.0551, ValidAcc:0.9476
[2025-04-19 02:30:25.049] Run:1-Epoch:13, TrainLoss:0.0694, TrainAcc:0.8984
[2025-04-19 02:30:25.245] Run:1-Epoch:13, ValidLoss:0.0543, ValidAcc:0.9443
[2025-04-19 02:30:26.016] Run:1-Epoch:14, TrainLoss:0.0655, TrainAcc:0.9027
[2025-04-19 02:30:26.201] Run:1-Epoch:14, ValidLoss:0.0550, ValidAcc:0.9424
[2025-04-19 02:30:26.811] Run:1-Epoch:15, TrainLoss:0.0606, TrainAcc:0.9087
[2025-04-19 02:30:26.988] Run:1-Epoch:15, ValidLoss:0.0546, ValidAcc:0.9383
[2025-04-19 02:30:27.605] Run:1-Epoch:16, TrainLoss:0.0561, TrainAcc:0.9224
[2025-04-19 02:30:27.787] Run:1-Epoch:16, ValidLoss:0.0546, ValidAcc:0.9393
[2025-04-19 02:30:28.404] Run:1-Epoch:17, TrainLoss:0.0513, TrainAcc:0.9283
[2025-04-19 02:30:28.587] Run:1-Epoch:17, ValidLoss:0.0551, ValidAcc:0.9399
[2025-04-19 02:30:29.187] Run:1-Epoch:18, TrainLoss:0.0466, TrainAcc:0.9374
[2025-04-19 02:30:29.382] Run:1-Epoch:18, ValidLoss:0.0549, ValidAcc:0.9421
[2025-04-19 02:30:29.985] Run:1-Epoch:19, TrainLoss:0.0434, TrainAcc:0.9460
[2025-04-19 02:30:30.168] Run:1-Epoch:19, ValidLoss:0.0566, ValidAcc:0.9360
[2025-04-19 02:52:34.175] Namespace(dataset_name='ChestXray14', model_name='resnet18', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, dataset_path='/cabinet/reza/datasets/NIH_Chest_X_rays/images/', epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', valid_start_epoch=1, patience=5, loss_type='focal', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.01, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='resnet18_ImageNet_vgg19_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/resnet18_ImageNet_vgg19_ImageNet_exper/resnet18_ImageNet_vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-19 02:52:34.681] Run:1-Epoch:1, TrainLoss:0.1755, TrainAcc:0.5339
[2025-04-19 02:52:34.805] Run:1-Epoch:1, ValidLoss:0.1869, ValidAcc:0.4289
[2025-04-19 02:52:35.410] Run:1-Epoch:2, TrainLoss:0.1768, TrainAcc:0.5232
[2025-04-19 02:52:35.534] Run:1-Epoch:2, ValidLoss:0.1877, ValidAcc:0.4307
[2025-04-19 02:52:35.990] Run:1-Epoch:3, TrainLoss:0.1743, TrainAcc:0.5400
[2025-04-19 02:52:36.113] Run:1-Epoch:3, ValidLoss:0.1710, ValidAcc:0.5700
[2025-04-19 02:52:36.739] Run:1-Epoch:4, TrainLoss:0.1608, TrainAcc:0.6600
[2025-04-19 02:52:36.874] Run:1-Epoch:4, ValidLoss:0.1453, ValidAcc:0.7586
[2025-04-19 02:52:37.484] Run:1-Epoch:5, TrainLoss:0.1434, TrainAcc:0.7682
[2025-04-19 02:52:37.617] Run:1-Epoch:5, ValidLoss:0.1185, ValidAcc:0.8946
[2025-04-19 02:52:38.228] Run:1-Epoch:6, TrainLoss:0.1224, TrainAcc:0.8443
[2025-04-19 02:52:38.358] Run:1-Epoch:6, ValidLoss:0.0915, ValidAcc:0.9557
[2025-04-19 02:52:38.976] Run:1-Epoch:7, TrainLoss:0.1056, TrainAcc:0.8582
[2025-04-19 02:52:39.099] Run:1-Epoch:7, ValidLoss:0.0718, ValidAcc:0.9604
[2025-04-19 02:52:39.724] Run:1-Epoch:8, TrainLoss:0.0993, TrainAcc:0.8593
[2025-04-19 02:52:39.848] Run:1-Epoch:8, ValidLoss:0.0626, ValidAcc:0.9604
[2025-04-19 02:52:40.455] Run:1-Epoch:9, TrainLoss:0.0951, TrainAcc:0.8636
[2025-04-19 02:52:40.583] Run:1-Epoch:9, ValidLoss:0.0604, ValidAcc:0.9604
[2025-04-19 02:52:41.181] Run:1-Epoch:10, TrainLoss:0.0933, TrainAcc:0.8557
[2025-04-19 02:52:41.307] Run:1-Epoch:10, ValidLoss:0.0610, ValidAcc:0.9604
[2025-04-19 02:52:41.766] Run:1-Epoch:11, TrainLoss:0.0882, TrainAcc:0.8625
[2025-04-19 02:52:41.892] Run:1-Epoch:11, ValidLoss:0.0616, ValidAcc:0.9600
[2025-04-19 02:52:42.338] Run:1-Epoch:12, TrainLoss:0.0811, TrainAcc:0.8714
[2025-04-19 02:52:42.464] Run:1-Epoch:12, ValidLoss:0.0619, ValidAcc:0.9600
[2025-04-19 02:52:42.908] Run:1-Epoch:13, TrainLoss:0.0786, TrainAcc:0.8775
[2025-04-19 02:52:43.035] Run:1-Epoch:13, ValidLoss:0.0606, ValidAcc:0.9575
[2025-04-19 02:52:43.483] Run:1-Epoch:14, TrainLoss:0.0761, TrainAcc:0.8793
[2025-04-19 02:52:43.608] Run:1-Epoch:14, ValidLoss:0.0592, ValidAcc:0.9532
[2025-04-19 02:52:44.212] Run:1-Epoch:15, TrainLoss:0.0705, TrainAcc:0.8889
[2025-04-19 02:52:44.333] Run:1-Epoch:15, ValidLoss:0.0581, ValidAcc:0.9532
[2025-04-19 02:52:44.929] Run:1-Epoch:16, TrainLoss:0.0674, TrainAcc:0.8921
[2025-04-19 02:52:45.054] Run:1-Epoch:16, ValidLoss:0.0544, ValidAcc:0.9546
[2025-04-19 02:52:45.657] Run:1-Epoch:17, TrainLoss:0.0641, TrainAcc:0.9029
[2025-04-19 02:52:45.783] Run:1-Epoch:17, ValidLoss:0.0513, ValidAcc:0.9579
[2025-04-19 02:52:46.382] Run:1-Epoch:18, TrainLoss:0.0614, TrainAcc:0.9061
[2025-04-19 02:52:46.508] Run:1-Epoch:18, ValidLoss:0.0500, ValidAcc:0.9579
[2025-04-19 02:52:47.111] Run:1-Epoch:19, TrainLoss:0.0572, TrainAcc:0.9125
[2025-04-19 02:52:47.236] Run:1-Epoch:19, ValidLoss:0.0495, ValidAcc:0.9568
[2025-04-19 02:52:47.840] Run:1-Epoch:20, TrainLoss:0.0530, TrainAcc:0.9189
[2025-04-19 02:52:47.970] Run:1-Epoch:20, ValidLoss:0.0491, ValidAcc:0.9536
[2025-04-19 02:52:48.581] Run:1-Epoch:21, TrainLoss:0.0513, TrainAcc:0.9229
[2025-04-19 02:52:48.706] Run:1-Epoch:21, ValidLoss:0.0499, ValidAcc:0.9521
[2025-04-19 02:52:49.152] Run:1-Epoch:22, TrainLoss:0.0484, TrainAcc:0.9246
[2025-04-19 02:52:49.278] Run:1-Epoch:22, ValidLoss:0.0502, ValidAcc:0.9525
[2025-04-19 02:52:49.730] Run:1-Epoch:23, TrainLoss:0.0489, TrainAcc:0.9293
[2025-04-19 02:52:49.855] Run:1-Epoch:23, ValidLoss:0.0497, ValidAcc:0.9536
[2025-04-19 02:52:50.296] Run:1-Epoch:24, TrainLoss:0.0468, TrainAcc:0.9289
[2025-04-19 02:52:50.419] Run:1-Epoch:24, ValidLoss:0.0497, ValidAcc:0.9511
[2025-04-19 02:52:50.862] Run:1-Epoch:25, TrainLoss:0.0420, TrainAcc:0.9436
[2025-04-19 02:52:50.989] Run:1-Epoch:25, ValidLoss:0.0497, ValidAcc:0.9500
[2025-04-19 02:52:51.430] Run:1-Epoch:26, TrainLoss:0.0426, TrainAcc:0.9354
[2025-04-19 02:52:51.554] Run:1-Epoch:26, ValidLoss:0.0502, ValidAcc:0.9482
[2025-04-19 03:06:34.880] Namespace(dataset_name='ChestXray14', model_name='resnet18', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', patience=5, loss_type='focal', opt='adam', lr=0.001, momentum=0.9, weight_decay=0.0001, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30, decay_rate=0.5, output_dir=None, exp_name='resnet18_ImageNet_vgg19_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/resnet18_ImageNet_vgg19_ImageNet_exper/resnet18_ImageNet_vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-19 03:06:37.064] Run:1-Epoch:1, TrainLoss:0.1705, TrainAcc:0.5487
[2025-04-19 03:06:37.555] Run:1-Epoch:1, ValidLoss:0.1706, ValidAcc:0.5780
[2025-04-19 03:06:39.691] Run:1-Epoch:2, TrainLoss:0.1702, TrainAcc:0.5481
[2025-04-19 03:06:40.163] Run:1-Epoch:2, ValidLoss:0.1695, ValidAcc:0.5728
[2025-04-19 03:06:42.327] Run:1-Epoch:3, TrainLoss:0.1407, TrainAcc:0.7701
[2025-04-19 03:06:42.811] Run:1-Epoch:3, ValidLoss:0.0981, ValidAcc:0.9484
[2025-04-19 03:06:44.934] Run:1-Epoch:4, TrainLoss:0.1085, TrainAcc:0.8564
[2025-04-19 03:06:45.412] Run:1-Epoch:4, ValidLoss:0.0652, ValidAcc:0.9499
[2025-04-19 03:06:47.501] Run:1-Epoch:5, TrainLoss:0.1035, TrainAcc:0.8559
[2025-04-19 03:06:47.989] Run:1-Epoch:5, ValidLoss:0.0773, ValidAcc:0.9487
[2025-04-19 03:06:49.875] Run:1-Epoch:6, TrainLoss:0.1020, TrainAcc:0.8565
[2025-04-19 03:06:50.351] Run:1-Epoch:6, ValidLoss:0.0687, ValidAcc:0.9494
[2025-04-19 03:06:52.237] Run:1-Epoch:7, TrainLoss:0.0988, TrainAcc:0.8556
[2025-04-19 03:06:52.728] Run:1-Epoch:7, ValidLoss:0.0695, ValidAcc:0.9491
[2025-04-19 03:06:54.601] Run:1-Epoch:8, TrainLoss:0.0942, TrainAcc:0.8616
[2025-04-19 03:06:55.077] Run:1-Epoch:8, ValidLoss:0.0673, ValidAcc:0.9421
[2025-04-19 03:06:56.994] Run:1-Epoch:9, TrainLoss:0.0905, TrainAcc:0.8653
[2025-04-19 03:06:57.492] Run:1-Epoch:9, ValidLoss:0.0633, ValidAcc:0.9469
[2025-04-19 03:06:59.574] Run:1-Epoch:10, TrainLoss:0.0881, TrainAcc:0.8647
[2025-04-19 03:07:00.070] Run:1-Epoch:10, ValidLoss:0.0571, ValidAcc:0.9475
[2025-04-19 03:07:02.096] Run:1-Epoch:11, TrainLoss:0.0852, TrainAcc:0.8661
[2025-04-19 03:07:02.586] Run:1-Epoch:11, ValidLoss:0.0643, ValidAcc:0.9432
[2025-04-19 03:07:04.459] Run:1-Epoch:12, TrainLoss:0.0821, TrainAcc:0.8686
[2025-04-19 03:07:04.933] Run:1-Epoch:12, ValidLoss:0.0633, ValidAcc:0.9325
[2025-04-19 03:07:06.777] Run:1-Epoch:13, TrainLoss:0.0773, TrainAcc:0.8778
[2025-04-19 03:07:07.274] Run:1-Epoch:13, ValidLoss:0.0619, ValidAcc:0.9325
[2025-04-19 03:07:09.144] Run:1-Epoch:14, TrainLoss:0.0747, TrainAcc:0.8811
[2025-04-19 03:07:09.642] Run:1-Epoch:14, ValidLoss:0.0670, ValidAcc:0.9175
[2025-04-19 03:07:11.460] Run:1-Epoch:15, TrainLoss:0.0706, TrainAcc:0.8863
[2025-04-19 03:07:11.967] Run:1-Epoch:15, ValidLoss:0.0616, ValidAcc:0.9274
[2025-04-19 03:07:13.863] Run:1-Epoch:16, TrainLoss:0.0678, TrainAcc:0.8925
[2025-04-19 03:07:14.345] Run:1-Epoch:16, ValidLoss:0.0712, ValidAcc:0.9064
[2025-04-19 04:07:25.559] Namespace(dataset_name='ChestXray14', model_name='resnet18', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', patience=5, loss_type='focal', opt='adam', lr=0.001, momentum=0.9, weight_decay=0.0001, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30, decay_rate=0.5, output_dir=None, exp_name='resnet18_ImageNet_vgg19_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/resnet18_ImageNet_vgg19_ImageNet_exper/resnet18_ImageNet_vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-19 04:08:27.325] Run:1-Epoch:1, TrainLoss:0.1622, TrainAcc:0.6197
[2025-04-19 04:08:29.643] Run:1-Epoch:1, ValidLoss:0.1508, ValidAcc:0.7197
[2025-04-19 04:09:32.671] Run:1-Epoch:2, TrainLoss:0.1489, TrainAcc:0.7372
[2025-04-19 04:09:34.981] Run:1-Epoch:2, ValidLoss:0.1354, ValidAcc:0.8405
[2025-04-19 04:10:38.407] Run:1-Epoch:3, TrainLoss:0.1025, TrainAcc:0.8538
[2025-04-19 04:10:40.727] Run:1-Epoch:3, ValidLoss:0.0632, ValidAcc:0.9454
[2025-04-19 04:11:43.418] Run:1-Epoch:4, TrainLoss:0.0933, TrainAcc:0.8578
[2025-04-19 04:11:45.746] Run:1-Epoch:4, ValidLoss:0.0612, ValidAcc:0.9411
[2025-04-19 04:12:48.493] Run:1-Epoch:5, TrainLoss:0.0884, TrainAcc:0.8634
[2025-04-19 04:12:50.861] Run:1-Epoch:5, ValidLoss:0.0699, ValidAcc:0.9144
[2025-04-19 04:13:53.394] Run:1-Epoch:6, TrainLoss:0.0890, TrainAcc:0.8633
[2025-04-19 04:13:55.709] Run:1-Epoch:6, ValidLoss:0.0559, ValidAcc:0.9359
[2025-04-19 04:14:59.065] Run:1-Epoch:7, TrainLoss:0.0900, TrainAcc:0.8621
[2025-04-19 04:15:01.399] Run:1-Epoch:7, ValidLoss:0.0709, ValidAcc:0.9067
[2025-04-19 04:16:04.164] Run:1-Epoch:8, TrainLoss:0.0894, TrainAcc:0.8632
[2025-04-19 04:16:06.440] Run:1-Epoch:8, ValidLoss:0.0584, ValidAcc:0.9360
[2025-04-19 04:17:10.447] Run:1-Epoch:9, TrainLoss:0.0885, TrainAcc:0.8638
[2025-04-19 04:17:12.812] Run:1-Epoch:9, ValidLoss:0.0651, ValidAcc:0.9217
[2025-04-19 04:18:14.386] Run:1-Epoch:10, TrainLoss:0.0878, TrainAcc:0.8645
