[2025-04-16 20:31:44.546] Namespace(dataset_name='ChestXray14', model_name='swin_base', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, dataset_path='/cabinet/reza/datasets/NIH_Chest_X_rays/images/', epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', valid_start_epoch=1, patience=5, loss_type='focal', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.01, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='swin_base_ImageNet_resnet18_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/swin_base_ImageNet_resnet18_ImageNet_exper/swin_base_ImageNet_resnet18_ImageNet_exper_run_1.pdf'))
[2025-04-16 20:31:45.471] Run:1-Epoch:1, TrainLoss:0.1942, TrainAcc:0.5743
[2025-04-16 20:31:45.748] Run:1-Epoch:1, ValidLoss:0.1940, ValidAcc:0.5421
[2025-04-16 20:31:47.358] Run:1-Epoch:2, TrainLoss:0.1839, TrainAcc:0.6150
[2025-04-16 20:31:47.640] Run:1-Epoch:2, ValidLoss:0.1921, ValidAcc:0.5471
[2025-04-16 20:31:49.642] Run:1-Epoch:3, TrainLoss:0.1826, TrainAcc:0.5957
[2025-04-16 20:31:49.923] Run:1-Epoch:3, ValidLoss:0.0709, ValidAcc:0.8964
[2025-04-16 20:31:51.901] Run:1-Epoch:4, TrainLoss:0.1341, TrainAcc:0.7900
[2025-04-16 20:31:52.173] Run:1-Epoch:4, ValidLoss:0.0839, ValidAcc:0.9086
[2025-04-16 20:31:53.066] Run:1-Epoch:5, TrainLoss:0.1121, TrainAcc:0.8407
[2025-04-16 20:31:53.334] Run:1-Epoch:5, ValidLoss:0.0489, ValidAcc:0.9571
[2025-04-16 20:31:55.329] Run:1-Epoch:6, TrainLoss:0.1188, TrainAcc:0.8543
[2025-04-16 20:31:55.602] Run:1-Epoch:6, ValidLoss:0.0590, ValidAcc:0.9571
[2025-04-16 20:31:56.469] Run:1-Epoch:7, TrainLoss:0.1054, TrainAcc:0.8529
[2025-04-16 20:31:56.741] Run:1-Epoch:7, ValidLoss:0.0610, ValidAcc:0.9571
[2025-04-16 20:31:57.622] Run:1-Epoch:8, TrainLoss:0.1080, TrainAcc:0.8407
[2025-04-16 20:31:57.894] Run:1-Epoch:8, ValidLoss:0.0600, ValidAcc:0.9571
[2025-04-16 20:31:58.773] Run:1-Epoch:9, TrainLoss:0.1066, TrainAcc:0.8500
[2025-04-16 20:31:59.050] Run:1-Epoch:9, ValidLoss:0.0607, ValidAcc:0.9571
[2025-04-16 20:31:59.932] Run:1-Epoch:10, TrainLoss:0.1052, TrainAcc:0.8521
[2025-04-16 20:32:00.211] Run:1-Epoch:10, ValidLoss:0.0544, ValidAcc:0.9571
[2025-04-16 20:32:01.097] Run:1-Epoch:11, TrainLoss:0.1103, TrainAcc:0.8414
[2025-04-16 20:32:01.375] Run:1-Epoch:11, ValidLoss:0.0688, ValidAcc:0.9571
