[2025-04-24 05:53:03.963] Namespace(dataset_name='ChestXray14', model_name='swin_base', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, epochs=40, batch_size=128, seed=1234, num_trial=3, device='cuda', patience=5, loss_type='bce', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.0, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=20, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='swin_base_ImageNet_resnet18_ImageNet_vgg19_ImageNet_exper', weights='ImageNet', plot_path=PosixPath('outputs/ChestXray14/swin_base_ImageNet_resnet18_ImageNet_vgg19_ImageNet_exper/swin_base_ImageNet_resnet18_ImageNet_vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-24 06:02:02.687] Run:1-Epoch:1, TrainLoss:0.4303, TrainAcc:0.8317
[2025-04-24 06:02:31.328] Run:1-Epoch:1, ValidLoss:0.2468, ValidAcc:0.9485
[2025-04-24 06:11:27.675] Run:1-Epoch:2, TrainLoss:0.3856, TrainAcc:0.8538
[2025-04-24 06:11:56.253] Run:1-Epoch:2, ValidLoss:0.2194, ValidAcc:0.9487
[2025-04-24 06:20:52.990] Run:1-Epoch:3, TrainLoss:0.3325, TrainAcc:0.8654
[2025-04-24 06:21:21.655] Run:1-Epoch:3, ValidLoss:0.1935, ValidAcc:0.9384
[2025-04-24 06:30:18.296] Run:1-Epoch:4, TrainLoss:0.2865, TrainAcc:0.8803
[2025-04-24 06:30:46.930] Run:1-Epoch:4, ValidLoss:0.2049, ValidAcc:0.9313
[2025-04-24 06:39:45.827] Run:1-Epoch:5, TrainLoss:0.2488, TrainAcc:0.8956
[2025-04-24 06:40:14.457] Run:1-Epoch:5, ValidLoss:0.2093, ValidAcc:0.9267
[2025-04-24 06:49:09.684] Run:1-Epoch:6, TrainLoss:0.2161, TrainAcc:0.9103
[2025-04-24 06:49:38.320] Run:1-Epoch:6, ValidLoss:0.2175, ValidAcc:0.9193
[2025-04-24 06:58:33.304] Run:1-Epoch:7, TrainLoss:0.1913, TrainAcc:0.9210
[2025-04-24 06:59:01.858] Run:1-Epoch:7, ValidLoss:0.2506, ValidAcc:0.9109
[2025-04-24 07:07:58.322] Run:1-Epoch:8, TrainLoss:0.1649, TrainAcc:0.9325
[2025-04-24 07:08:27.111] Run:1-Epoch:8, ValidLoss:0.2466, ValidAcc:0.9158
[2025-04-24 07:17:24.941] Run:1-Epoch:9, TrainLoss:0.1496, TrainAcc:0.9393
[2025-04-24 07:17:53.713] Run:1-Epoch:9, ValidLoss:0.2361, ValidAcc:0.9174
