[2025-04-16 19:57:24.474] Namespace(dataset_name='ChestXray14', model_name='vgg19', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, dataset_path='/cabinet/reza/datasets/NIH_Chest_X_rays/images/', epochs=40, batch_size=128, seed=1234, num_trial=1, device='cuda', valid_start_epoch=1, patience=5, loss_type='focal', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.01, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=5, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='vgg19_ImageNet_exper', plot_path=PosixPath('outputs/ChestXray14/vgg19_ImageNet_exper/vgg19_ImageNet_exper_run_1.pdf'))
[2025-04-16 19:57:25.522] Run:1-Epoch:1, TrainLoss:0.1839, TrainAcc:0.6000
[2025-04-16 19:57:25.777] Run:1-Epoch:1, ValidLoss:0.1800, ValidAcc:0.6379
[2025-04-16 19:57:28.020] Run:1-Epoch:2, TrainLoss:0.1829, TrainAcc:0.6136
[2025-04-16 19:57:28.180] Run:1-Epoch:2, ValidLoss:0.1767, ValidAcc:0.6429
[2025-04-16 19:57:31.048] Run:1-Epoch:3, TrainLoss:0.1847, TrainAcc:0.5943
[2025-04-16 19:57:31.205] Run:1-Epoch:3, ValidLoss:0.0843, ValidAcc:0.9050
[2025-04-16 19:57:33.998] Run:1-Epoch:4, TrainLoss:0.1168, TrainAcc:0.8143
[2025-04-16 19:57:34.153] Run:1-Epoch:4, ValidLoss:0.0801, ValidAcc:0.9571
[2025-04-16 19:57:36.925] Run:1-Epoch:5, TrainLoss:0.1073, TrainAcc:0.8543
[2025-04-16 19:57:37.081] Run:1-Epoch:5, ValidLoss:0.2471, ValidAcc:0.9571
[2025-04-16 19:57:37.636] Run:1-Epoch:6, TrainLoss:0.9003, TrainAcc:0.8493
[2025-04-16 19:57:37.792] Run:1-Epoch:6, ValidLoss:0.0781, ValidAcc:0.9014
[2025-04-16 19:57:40.491] Run:1-Epoch:7, TrainLoss:0.1107, TrainAcc:0.8150
[2025-04-16 19:57:40.645] Run:1-Epoch:7, ValidLoss:0.0617, ValidAcc:0.9157
[2025-04-16 19:57:43.374] Run:1-Epoch:8, TrainLoss:0.1641, TrainAcc:0.8421
[2025-04-16 19:57:43.528] Run:1-Epoch:8, ValidLoss:0.1469, ValidAcc:0.7957
[2025-04-16 19:57:44.076] Run:1-Epoch:9, TrainLoss:0.1505, TrainAcc:0.7821
[2025-04-16 19:57:44.232] Run:1-Epoch:9, ValidLoss:0.0602, ValidAcc:0.9571
[2025-04-16 19:57:47.017] Run:1-Epoch:10, TrainLoss:0.1814, TrainAcc:0.8564
[2025-04-16 19:57:47.171] Run:1-Epoch:10, ValidLoss:0.1312, ValidAcc:0.8957
[2025-04-16 19:57:47.717] Run:1-Epoch:11, TrainLoss:0.1410, TrainAcc:0.7957
[2025-04-16 19:57:47.870] Run:1-Epoch:11, ValidLoss:0.1173, ValidAcc:0.9571
[2025-04-16 19:57:48.414] Run:1-Epoch:12, TrainLoss:0.1306, TrainAcc:0.8479
[2025-04-16 19:57:48.566] Run:1-Epoch:12, ValidLoss:0.0678, ValidAcc:0.9571
[2025-04-16 19:57:49.113] Run:1-Epoch:13, TrainLoss:0.1192, TrainAcc:0.8564
[2025-04-16 19:57:49.268] Run:1-Epoch:13, ValidLoss:0.0792, ValidAcc:0.9571
[2025-04-16 19:57:49.812] Run:1-Epoch:14, TrainLoss:0.1072, TrainAcc:0.8586
[2025-04-16 19:57:49.965] Run:1-Epoch:14, ValidLoss:0.0480, ValidAcc:0.9571
[2025-04-16 19:57:52.760] Run:1-Epoch:15, TrainLoss:0.1126, TrainAcc:0.8543
[2025-04-16 19:57:52.921] Run:1-Epoch:15, ValidLoss:0.0760, ValidAcc:0.9571
[2025-04-16 19:57:53.472] Run:1-Epoch:16, TrainLoss:0.1067, TrainAcc:0.8579
[2025-04-16 19:57:53.632] Run:1-Epoch:16, ValidLoss:0.0759, ValidAcc:0.9571
