[2025-04-24 03:54:59.504] Namespace(dataset_name='ChestXray14', model_name='vgg19', init='ImageNet', normalization='imagenet', num_classes=14, in_chans=3, img_size=224, epochs=40, batch_size=128, seed=1234, num_trial=3, device='cuda', patience=5, loss_type='bce', opt='adamw', lr=0.001, momentum=0.9, weight_decay=0.0, clip_grad=None, num_workers=4, sched='cosine', warmup_lr=1e-06, min_lr=1e-05, warmup_epochs=20, cooldown_epochs=10, decay_epochs=30.0, decay_rate=0.5, output_dir=None, exp_name='vgg19_ImageNet_exper', weights='ImageNet', plot_path=PosixPath('outputs/ChestXray14/vgg19_ImageNet_exper/vgg19_ImageNet_exper_run_2.pdf'))
[2025-04-24 03:59:04.691] Run:2-Epoch:1, TrainLoss:0.4167, TrainAcc:0.8400
[2025-04-24 03:59:15.758] Run:2-Epoch:1, ValidLoss:0.2109, ValidAcc:0.9456
[2025-04-24 04:03:22.990] Run:2-Epoch:2, TrainLoss:0.3750, TrainAcc:0.8547
[2025-04-24 04:03:34.096] Run:2-Epoch:2, ValidLoss:0.1991, ValidAcc:0.9474
[2025-04-24 04:07:40.463] Run:2-Epoch:3, TrainLoss:0.3370, TrainAcc:0.8643
[2025-04-24 04:07:51.473] Run:2-Epoch:3, ValidLoss:0.1981, ValidAcc:0.9302
[2025-04-24 04:11:57.385] Run:2-Epoch:4, TrainLoss:0.2979, TrainAcc:0.8765
[2025-04-24 04:12:08.360] Run:2-Epoch:4, ValidLoss:0.1971, ValidAcc:0.9372
[2025-04-24 04:16:13.427] Run:2-Epoch:5, TrainLoss:0.2676, TrainAcc:0.8882
[2025-04-24 04:16:24.402] Run:2-Epoch:5, ValidLoss:0.2053, ValidAcc:0.9337
[2025-04-24 04:20:25.742] Run:2-Epoch:6, TrainLoss:0.2445, TrainAcc:0.8980
[2025-04-24 04:20:36.615] Run:2-Epoch:6, ValidLoss:0.2327, ValidAcc:0.9174
[2025-04-24 04:24:37.112] Run:2-Epoch:7, TrainLoss:0.2186, TrainAcc:0.9091
[2025-04-24 04:24:47.952] Run:2-Epoch:7, ValidLoss:0.2316, ValidAcc:0.9149
[2025-04-24 04:28:47.421] Run:2-Epoch:8, TrainLoss:0.1934, TrainAcc:0.9203
[2025-04-24 04:28:58.194] Run:2-Epoch:8, ValidLoss:0.2297, ValidAcc:0.9187
[2025-04-24 04:32:56.814] Run:2-Epoch:9, TrainLoss:0.1741, TrainAcc:0.9291
[2025-04-24 04:33:07.558] Run:2-Epoch:9, ValidLoss:0.2324, ValidAcc:0.9191
[2025-04-24 04:37:05.192] Run:2-Epoch:10, TrainLoss:0.1583, TrainAcc:0.9358
[2025-04-24 04:37:15.850] Run:2-Epoch:10, ValidLoss:0.2372, ValidAcc:0.9152
